Date,Close
2014/1/21,"8,599.90"
2014/1/20,"8,621.56"
2014/1/17,"8,596.00"
2014/1/16,"8,612.11"
2014/1/15,"8,602.55"
2014/1/14,"8,548.14"
2014/1/13,"8,566.20"
2014/1/10,"8,529.35"
2014/1/9,"8,514.68"
2014/1/8,"8,556.01"
2014/1/7,"8,512.30"
2014/1/6,"8,500.01"
2014/1/3,"8,546.54"
2014/1/2,"8,612.54"
2013/12/31,"8,611.51"
2013/12/30,"8,623.43"
2013/12/27,"8,535.04"
2013/12/26,"8,485.89"
2013/12/25,"8,467.76"
2013/12/24,"8,450.49"
2013/12/23,"8,456.46"
2013/12/20,"8,408.53"
2013/12/19,"8,407.40"
2013/12/18,"8,349.04"
2013/12/17,"8,352.93"
2013/12/16,"8,313.87"
2013/12/13,"8,376.94"
2013/12/12,"8,361.33"
2013/12/11,"8,433.77"
2013/12/10,"8,443.39"
2013/12/9,"8,444.62"
2013/12/6,"8,367.72"
2013/12/5,"8,375.54"
2013/12/4,"8,418.00"
2013/12/3,"8,392.55"
2013/12/2,"8,414.61"
2013/11/29,"8,406.83"
2013/11/28,"8,362.43"
2013/11/27,"8,295.88"
2013/11/26,"8,248.02"
2013/11/25,"8,187.51"
2013/11/22,"8,116.78"
2013/11/21,"8,099.45"
2013/11/20,"8,204.46"
2013/11/19,"8,260.21"
2013/11/18,"8,191.46"
2013/11/15,"8,177.12"
2013/11/14,"8,134.91"
2013/11/13,"8,104.26"
2013/11/12,"8,195.26"
2013/11/11,"8,182.56"
2013/11/8,"8,229.59"
2013/11/7,"8,283.71"
2013/11/6,"8,281.97"
2013/11/5,"8,262.20"
2013/11/4,"8,354.14"
2013/11/1,"8,388.18"
2013/10/31,"8,450.06"
2013/10/30,"8,465.06"
2013/10/29,"8,420.98"
2013/10/28,"8,407.83"
2013/10/25,"8,346.62"
2013/10/24,"8,413.72"
2013/10/23,"8,393.62"
2013/10/22,"8,418.27"
2013/10/21,"8,419.32"
2013/10/18,"8,441.19"
2013/10/17,"8,374.68"
2013/10/16,"8,332.18"
2013/10/15,"8,367.88"
2013/10/14,"8,273.96"
2013/10/11,"8,349.37"
2013/10/9,"8,344.73"
2013/10/8,"8,375.65"
2013/10/7,"8,333.66"
2013/10/4,"8,364.55"
2013/10/3,"8,359.02"
2013/10/2,"8,216.52"
2013/10/1,"8,187.02"
2013/9/30,"8,173.87"
2013/9/27,"8,230.68"
2013/9/26,"8,184.68"
2013/9/25,"8,283.90"
2013/9/24,"8,299.12"
2013/9/23,"8,292.83"
2013/9/18,"8,209.18"
2013/9/17,"8,249.78"
2013/9/16,"8,255.34"
2013/9/14,"8,142.48"
2013/9/13,"8,168.20"
2013/9/12,"8,225.36"
2013/9/11,"8,208.99"
2013/9/10,"8,208.77"
2013/9/9,"8,192.11"
2013/9/6,"8,164.20"
2013/9/5,"8,169.10"
2013/9/4,"8,083.44"
2013/9/3,"8,088.37"
2013/9/2,"8,038.86"
2013/8/30,"8,021.89"
2013/8/29,"7,917.66"
2013/8/28,"7,824.54"
2013/8/27,"7,820.84"
2013/8/26,"7,894.97"
2013/8/23,"7,873.31"
2013/8/22,"7,814.38"
2013/8/20,"7,832.65"
2013/8/19,"7,900.21"
2013/8/16,"7,925.00"
2013/8/15,"7,887.26"
2013/8/14,"7,951.33"
2013/8/13,"7,986.27"
2013/8/12,"7,903.38"
2013/8/9,"7,856.14"
2013/8/8,"7,907.67"
2013/8/7,"7,921.29"
2013/8/6,"8,038.91"
2013/8/5,"8,138.63"
2013/8/2,"8,099.88"
2013/8/1,"8,056.22"
2013/7/31,"8,107.94"
2013/7/30,"8,163.55"
2013/7/29,"8,084.50"
2013/7/26,"8,149.40"
2013/7/25,"8,163.58"
2013/7/24,"8,196.19"
2013/7/23,"8,214.65"
2013/7/22,"8,105.45"
2013/7/19,"8,062.03"
2013/7/18,"8,194.88"
2013/7/17,"8,258.95"
2013/7/16,"8,260.11"
2013/7/15,"8,254.68"
2013/7/12,"8,220.49"
2013/7/11,"8,179.54"
2013/7/10,"8,011.69"
2013/7/9,"7,971.18"
2013/7/8,"7,886.34"
2013/7/5,"8,001.82"
2013/7/4,"7,893.72"
2013/7/3,"7,911.42"
2013/7/2,"8,015.86"
2013/7/1,"8,036.00"
2013/6/28,"8,062.21"
2013/6/27,"7,883.90"
2013/6/26,"7,784.80"
2013/6/25,"7,663.23"
2013/6/24,"7,758.03"
2013/6/21,"7,793.31"
2013/6/20,"7,898.91"
2013/6/19,"8,007.39"
2013/6/18,"8,011.02"
2013/6/17,"7,992.89"
2013/6/14,"7,937.74"
2013/6/13,"7,951.66"
2013/6/11,"8,116.15"
2013/6/10,"8,160.55"
2013/6/7,"8,095.20"
2013/6/6,"8,096.14"
2013/6/5,"8,181.91"
2013/6/4,"8,191.22"
2013/6/3,"8,201.02"
2013/5/31,"8,254.80"
2013/5/30,"8,243.29"
2013/5/29,"8,337.90"
2013/5/28,"8,263.05"
2013/5/27,"8,280.10"
2013/5/24,"8,209.78"
2013/5/23,"8,237.83"
2013/5/22,"8,398.84"
2013/5/21,"8,383.05"
2013/5/20,"8,377.05"
2013/5/17,"8,368.19"
2013/5/16,"8,390.05"
2013/5/15,"8,318.59"
2013/5/14,"8,251.82"
2013/5/13,"8,248.32"
2013/5/10,"8,280.26"
2013/5/9,"8,285.89"
2013/5/8,"8,267.09"
2013/5/7,"8,163.06"
2013/5/6,"8,169.05"
2013/5/3,"8,135.03"
2013/5/2,"8,128.51"
2013/4/30,"8,093.66"
2013/4/29,"8,029.74"
2013/4/26,"8,022.06"
2013/4/25,"8,021.75"
2013/4/24,"8,023.71"
2013/4/23,"7,942.77"
2013/4/22,"7,970.38"
2013/4/19,"7,930.80"
2013/4/18,"7,791.35"
2013/4/17,"7,809.07"
2013/4/16,"7,801.05"
2013/4/15,"7,763.53"
2013/4/12,"7,821.63"
2013/4/11,"7,857.98"
2013/4/10,"7,752.80"
